Bundle编码,规则,SKU组合,中文名称,清仓价,匹配状态,来源Bundle
B-2P0G-0149000239,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS012001+BSR113002,青色AURORA香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS012001
B-2P0G-0149000241,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS012001+BSR116002,青色AURORA香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS012001
B-2P0G-0149000217,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS012001+BSR111002,青色AURORA香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS012001
B-2P0G-0149000240,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS012001+BSR114002,青色AURORA香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS012001
B-2P0G-0149000219,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS009001+BSR112002,橘色MABEL香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS009001
B-2P0G-0149000236,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS009001+BSR113002,橘色MABEL香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS009001
B-2P0G-0149000238,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS009001+BSR116002,橘色MABEL香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS009001
B-2P0G-0149000216,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS009001+BSR111002,橘色MABEL香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS009001
B-2P0G-0149000237,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS009001+BSR114002,橘色MABEL香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS009001
B-2P0G-0149000507,⑥ 2pcs-常规香水+身体乳180ml,BXS001001+BSR112002,红色LEONA香水+粉色身体乳180ml,129000,已匹配,BSR112002+BXS001001
B-2P0G-0149000508,⑥ 2pcs-常规香水+身体乳180ml,BXS001001+BSR113002,红色LEONA香水+黄色身体乳180ml,129000,已匹配,BSR113002+BXS001001
B-2P0G-0149000509,⑥ 2pcs-常规香水+身体乳180ml,BXS001001+BSR116002,红色LEONA香水+紫棕身体乳180ml,129000,已匹配,BSR116002+BXS001001
B-2P0G-0149000129,⑥ 2pcs-常规香水+身体乳180ml,BXS001001+BSR111002,红色LEONA香水+红色身体乳180ml,129000,已匹配,BSR111002+BXS001001
B-2P0G-0149000510,⑥ 2pcs-常规香水+身体乳180ml,BXS001001+BSR114002,红色LEONA香水+绿色身体乳180ml,129000,已匹配,BSR114002+BXS001001
